SMILES
C1=CC=C(C=C1)C2=CC=CC=C2C(=O)NC3=CC(=C(C=C3)F)F
CC(=C1C2CCC1C3C2C(=O)N(C3=O)NC(=O)C4=CC=CO4)C
CC1CCCC(N1NC(=S)NC2=CC=C(C=C2)OC)C
C1CCC(C1)NC(=O)CSC2=NC=CN2CC3=CC=CC=C3
COC1=CC=CC(=C1O)C=NNC(=O)C2=C3CCC4=CC=CC=C4C3=NN2
C1=CC=C(C=C1)CCCN(CCOC2C(C(OC2N3C=NC4=C(N=CN=C43)N)CO)O)CC5C(C(C(O5)N6C=NC7=C(N=CN=C76)N)O)O
CC(=O)O
CCC(=O)OCC
COC(=O)CCCN(CCOC1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)O)CC4C(C(C(O4)N5C=NC6=C(N=CN=C65)N)O)O
C1=CC(=CC=C1S(=O)(=O)N(CCOC2C(C(OC2N3C=NC4=C(N=CN=C43)N)CO)O)CC5C(C(C(O5)N6C=NC7=C(N=CN=C76)N)O)O)Cl
